Temple,GBC,2016,Goal2017,Monthly2017,Jan2017,Feb2017,Mar2017,Apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Total,PercYear,JanPerc,FebPerc,MarPerc,FebMOM
St. Louis,Romapada Swami,44404,48844,4070.33,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
TBBT SKP,Miscellaneous,65591,72150,6012.5,1287,1796,4786,,,,,,,,,,7869,0.11,0.21,0.30,0.80,0.40
Team Yamuna Mayi,Vaisesika Dasa,9802,10782,898.5,362,398,8342,,,,,,,,,,9102,0.84,0.40,0.44,9.28,0.10
Toronto,Bhakti Marga Swami,70755,77830,6485.83,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Towaco,Romapada Swami,8402,9242,770.17,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Tucson,Nityananda Dasa,5575,6132,511,1166,500,918,,,,,,,,,,2584,0.42,2.28,0.98,1.80,-0.57
Utah,Badrinarayan Swami,888,976,81.33,,400,,,,,,,,,,,400,0.41,0.00,4.92,0.00,0.00
Vancouver,Bhakti Marga Swami,12616,13877,1156.42,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Wash D.C.,Anuttama Dasa,10000,11000,916.67,,,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0.00
Ypsilanti,Malati Devi Dasi,4300,4730,394.17,2000,2500,,,,,,,,,,,4500,0.95,5.07,6.34,0.00,0.25
Yuga Dharma,Miscellaneous,3137,3450,287.5,,1866,3744,,,,,,,,,,5610,1.63,0.00,6.49,13.02,0.00
